IFRS(연결),2022/12,2023/12,2024/12,2025/06,전년동기,전년동기(%)
매출액,154211,175899.0,162331.0,83176.0,82484.0,0.8
매출원가,128652,145729.0,135033.0,69735.0,67721.0,3.0
매출총이익,25559,30170.0,27297.0,13441.0,14763.0,-9.0
판매비와관리비계산에 참여한 계정 펼치기,14498,15497.0,17121.0,9305.0,8084.0,15.1
영업이익,11061,14673.0,10176.0,4136.0,6679.0,-38.1
영업이익(발표기준),11061,14673.0,10176.0,4136.0,6679.0,-38.1
금융수익계산에 참여한 계정 펼치기,7470,5951.0,11558.0,6636.0,6161.0,7.7
금융원가계산에 참여한 계정 펼치기,12246,8631.0,13371.0,8162.0,6724.0,21.4
기타수익계산에 참여한 계정 펼치기,1586,493.0,1438.0,1135.0,793.0,43.2
기타비용계산에 참여한 계정 펼치기,7432,4715.0,3428.0,410.0,327.0,25.3
"종속기업,공동지배기업및관계기업관련손익계산에 참여한 계정 펼치기",-2305,-387.0,205.0,72.0,275.0,-73.7
세전계속사업이익,-1865,7385.0,6578.0,3407.0,6855.0,-50.3
법인세비용,1470,2210.0,2631.0,1641.0,2037.0,-19.5
계속영업이익,-3335,5175.0,3947.0,1767.0,4818.0,-63.3
중단영업이익,-1197,,,,,
당기순이익,-4532,5175.0,3947.0,1767.0,4818.0,-63.3
지배주주순이익,-7725,556.0,1114.0,621.0,2803.0,-77.9
비지배주주순이익,3193,4619.0,2833.0,1146.0,2015.0,-43.1
